rid,room_name,state,province,town,pic_main,addr_lot,addr_street,using_fee,pyeong_size,room_cnt,bathroom_cnt,cookroom_cnt,sittingroom_cnt,reco_type_1,reco_type_2,longterm_discount_per,early_discount_per,is_new,is_super_host,lat,lng,crawl_datetime,crawl_timestamp,search_keyword,region_name,analysis_start_date,analysis_end_date,occupancy_rate_percent,total_reserved_days,total_days_analyzed,months_analyzed,analysis_date
53789,대치 삼성병원 대청,서울특별시,강남구,개포동,room/c15eec40-7c11-446b-9bd0-6d14eda95d32.jpg,서울특별시 강남구 개포동 13-3 대청타워,서울특별시 강남구 개포로 623,376000,11,1,1,1,0,False,False,0,0,False,False,37.49434,127.07964,2025-08-08 01:46:52,1754585212,강남구 개포동,서울특별시,2025-08-08,2025-09-04,71.43,20,28,2,2025-08-08 02:05:24
47284,대치학원삼성병원투룸풀옵,서울특별시,강남구,개포동,room/a72eb493-4555-43dd-9a6d-d1b7984fcccb.jpg,서울특별시 강남구 개포동 12 대청아파트,서울특별시 강남구 개포로109길 21,600000,18,2,1,1,1,False,False,10,1,False,False,37.49562,127.07719,2025-08-08 01:46:52,1754585212,강남구 개포동,서울특별시,2025-08-08,2025-09-04,89.29,25,28,2,2025-08-08 02:05:29
34343,대청역 삼성병원 대치동,서울특별시,강남구,개포동,room/414fad44-d32a-4280-8115-fc0a270cd1f3.jpg,서울특별시 강남구 개포동 13-3 대청타워,서울특별시 강남구 개포로 623,380000,10,1,1,1,0,False,False,5,3,False,False,37.49434,127.07964,2025-08-08 01:46:52,1754585212,강남구 개포동,서울특별시,2025-08-08,2025-09-04,0.0,0,28,2,2025-08-08 02:05:35
18875,대청역대치동수서삼성병원,서울특별시,강남구,개포동,room/7FD0BF4A-C444-4C3A-8B13-B9C4858BCAFB.png,서울특별시 강남구 개포동 13-3 대청타워,서울특별시 강남구 개포로 623,390000,10,1,1,1,1,False,False,5,5,False,False,37.49434,127.07964,2025-08-08 01:46:52,1754585212,강남구 개포동,서울특별시,2025-08-08,2025-09-04,3.57,1,28,2,2025-08-08 02:05:41
6316,대치/강남풀옵 2룸아팟,서울특별시,강남구,개포동,room/abe2ea23-ea18-47be-89e0-458925c59298.jpg,서울특별시 강남구 개포동 12 대청아파트,서울특별시 강남구 개포로109길 21,650000,22,2,1,1,1,False,False,10,1,False,False,37.49562,127.07719,2025-08-08 01:46:52,1754585212,강남구 개포동,서울특별시,2025-08-08,2025-09-04,46.43,13,28,2,2025-08-08 02:05:46
69017,대치 삼성병원 최대4명,서울특별시,강남구,개포동,room/CA88A874-3F17-4420-AEDF-61E78829804D.png,서울특별시 강남구 개포동 13-3 대청타워,서울특별시 강남구 개포로 623,380000,10,1,1,1,0,False,False,0,2,False,False,37.49434,127.07964,2025-08-08 01:46:52,1754585212,강남구 개포동,서울특별시,2025-08-08,2025-09-04,78.57,22,28,2,2025-08-08 02:05:51
65604,개포대치아파트🌸개인실,서울특별시,강남구,개포동,room/0f66ecc9-7e49-4c4b-a1e8-dcfe9b468363.jpg,서울특별시 강남구 개포동 660-1 디에이치퍼스티어아이파크,서울특별시 강남구 개포로 310,260000,5,1,1,0,0,False,False,5,3,False,False,37.48028,127.05784,2025-08-08 01:46:52,1754585212,강남구 개포동,서울특별시,2025-08-08,2025-09-04,46.43,13,28,2,2025-08-08 02:05:56
19433,강남 새 래미안 아파트,서울특별시,강남구,개포동,room/05f35757-6ee8-4102-a1fc-7f2bd17b481a.jpg,서울특별시 강남구 개포동 1282 개포 래미안 포레스트,서울특별시 강남구 개포로 264,2400000,26,3,2,1,1,False,False,10,0,False,False,37.47838,127.05425,2025-08-08 01:46:52,1754585212,강남구 개포동,서울특별시,2025-08-08,2025-09-04,0.0,0,28,2,2025-08-08 02:06:01
73125,대치동 아파트,서울특별시,강남구,개포동,room/806fea84-b1fe-451c-b0a4-69fefe41c97c.jpg,서울특별시 강남구 개포동 12 대치아파트,서울특별시 강남구 개포로109길 9,210000,14,1,1,1,1,False,False,10,0,False,False,37.49575,127.0751,2025-08-08 01:46:52,1754585212,강남구 개포동,서울특별시,2025-08-08,2025-09-04,96.43,27,28,2,2025-08-08 02:06:06
70967,😁삼성병원 수서대청역,서울특별시,강남구,개포동,room/60bcc5c2-2f85-4d83-95b4-efd69d38716f.jpg,서울특별시 강남구 개포동 13-3 대청타워,서울특별시 강남구 개포로 623,350000,10,1,1,1,0,False,False,0,0,False,False,37.49434,127.07964,2025-08-08 01:46:52,1754585212,강남구 개포동,서울특별시,2025-08-08,2025-09-04,21.43,6,28,2,2025-08-08 02:06:11
